OrderNumber,ProductName,Color,Category,Subcategory,ListPrice,Orderdate,Duedate,Shipdate,PromotionName,SalesRegion,OrderQuantity,UnitPrice,SalesAmount,DiscountAmount,TaxAmount,Freight
SO43843,"Mountain-100 Silver, 48",Silver,Bikes,Mountain Bikes,3399.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Central,2,2039.994,4079.988,0,326.399,101.9997
SO43843,"Mountain-100 Black, 48",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Central,2,2024.994,4049.988,0,323.999,101.2497
SO43843,"HL Mountain Frame - Silver, 46",Silver,Components,Mountain Frames,1204.3248,1/29/2011,02-10-2011,02-05-2011,No Discount,Central,2,722.5949,1445.1898,0,115.6152,36.1297
SO43843,"Mountain-100 Black, 44",Black,Bikes,Mountain Bikes,,1/29/2011,02-10-2011,02-05-2011,No Discount,Central,5,2024.994,10124.97,0,809.9976,253.1243
SO43843,"HL Mountain Frame - Silver, 38",Silver,Components,Mountain Frames,1204.3248,1/29/2011,02-10-2011,02-05-2011,No Discount,Central,2,722.5949,1445.1898,0,115.6152,36.1297
SO43843,"HL Mountain Frame - Silver, 48",Silver,Components,Mountain Frames,1364.5,1/29/2011,02-10-2011,02-05-2011,No Discount,Central,1,818.7,818.7,0,65.496,20.4675
SO43843,"HL Mountain Frame - Black, 48",Black,Components,Mountain Frames,1349.6,1/29/2011,02-10-2011,02-05-2011,No Discount,Central,Nan,809.76,809.76,0,64.7808,20.244
SO43843,"Mountain-100 Silver, 38",Silver,Bikes,Mountain Bikes,3399.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Central,2,2039.994,4079.988,0,326.399,101.9997
SO43843,"Mountain Bike Socks, M",White,Clothing,Socks,9.5,1/29/2011,02-10-2011,02-05-2011,No Discount,Central,2,5.7,11.4,0,0.912,0.285
SO43843,"Mountain-100 Black, 42",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Central,3,2024.994,6074.982,0,485.9986,151.8746
SO43844,"Mountain-100 Black, 38",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,,4,2024.994,8099.976,0,647.9981,202.4994
SO43844,"Mountain-100 Black, 42",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,,2,2024.994,4049.988,0,323.999,101.2497
SO43844,"Mountain-100 Black, 44",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,,3,2024.994,6074.982,0,485.9986,151.8746
SO43844,"Mountain-100 Black, 48",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,,1,2024.994,2024.994,0,161.9995,50.6249
SO43845,"LL Road Frame - Red, 44",Red,Components,Road Frames,306.5636,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,1,183.9382,183.9382,0,14.7151,4.5985
